Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGM,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FTM,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,eFG%,TS%,hAST%,TOV%,OER,PER
37,MarJon Beauchamp,SF,22,MIL,52,11,701,4.9,12.5,7.6,0.395,2.4,7.3,0.331,2.5,5.2,0.485,1.4,1.9,0.5,0.73,2,4,5.9,1.8,1.1,0.4,2.3,3.6,13.7,68.4,51.10986756,10.28424511,13.14097986,0.87511977,0.005563481
38,Davis Bertans,PF,30,DAL,45,1,492,5,11.7,6.7,0.431,4,10.3,0.39,1,1.4,0.737,1,1.1,0.1,0.867,0.7,3.1,3.9,1.5,0.8,0.6,0.7,3.9,15.1,86.75213675,61.77132338,10.40041602,4.853527474,1.17099651,0.01097561
39,Patrick Beverley,SG-PG,34,TOT,67,67,1816,2.9,7.1,4.2,0.4,1.6,4.7,0.335,1.3,2.4,0.529,0.9,1.3,0.4,0.723,0.9,4,4.9,3.8,1.2,0.8,1.2,3.7,8.2,73.94366197,53.12601231,29.88008649,9.435816788,0.92290377,0.003634361
39,Patrick Beverley,SG,34,LAL,45,45,1211,2.9,7.2,4.3,0.402,1.6,4.7,0.348,1.2,2.5,0.506,1.2,1.5,0.3,0.78,0.7,3.4,4.2,3.5,1.2,0.7,1.2,3.7,8.6,72.91666667,54.34439179,27.75024777,9.514370664,0.947658402,0.00478943
39,Patrick Beverley,PG,34,CHI,22,22,605,2.8,7.1,4.3,0.395,1.5,4.8,0.309,1.3,2.3,0.579,0.5,0.9,0.4,0.533,1.2,5.2,6.4,4.5,1.4,1,1.1,3.7,7.6,73.23943662,50.48156759,34.27918492,8.379356313,0.883207438,0.014214876
40,Saddiq Bey,SF,23,TOT,77,37,2129,6,14.1,8.1,0.422,2.6,7.1,0.361,3.4,7.1,0.483,3.5,4,0.5,0.861,1.7,4.5,6.1,2,1.2,0.2,1.2,2.1,18,67.73049645,56.25,10.41666667,6.25,1.052631579,0.00455613
40,Saddiq Bey,SF,23,DET,52,30,1500,5.9,14.5,8.6,0.404,2.4,7,0.345,3.5,7.5,0.46,4.3,5,0.7,0.861,1.4,4.4,5.8,2,1.2,0.3,1.3,2.1,18.5,64.82758621,54.81481481,9.913258984,6.44361834,1.024930748,0.006133333
40,Saddiq Bey,SF,23,ATL,25,7,629,6.2,13.2,7,0.47,2.9,7.2,0.4,3.3,6,0.552,1.4,1.7,0.3,0.862,2.2,4.6,6.9,1.9,1.1,0.1,1,2.1,16.7,74.24242424,59.61092272,11.23761644,5.91453497,1.115937187,0.016057234
41,Khem Birch,C,30,TOR,20,0,162,4.2,7.1,2.9,0.594,0.2,0.4,0.5,4,6.7,0.6,0.9,1.1,0.2,0.8,1.8,3.8,5.6,1.6,1.1,1.1,1.8,5.3,9.6,61.97183099,62.97146605,14.51576321,16.33023361,1.021820117,0.027777778
42,Goga Bitadze,C,23,TOT,38,1,457,5.4,9.8,4.4,0.552,0.5,2,0.231,5,7.8,0.636,1.8,3.3,1.5,0.548,4.8,6,10.8,3.1,1.3,2,1.7,5,13.2,65.30612245,58.06025951,19.17426937,10.51492191,1.016557566,0.026914661
42,Goga Bitadze,C,23,IND,21,0,202,4.8,9.3,4.5,0.519,0.7,2.5,0.286,4.1,6.8,0.605,2,4.3,2.3,0.458,4.5,4.3,8.7,3.2,1.6,1.8,2.1,6.1,12.3,65.05376344,54.22085078,19.22788043,12.61829653,0.922384702,0.038613861
42,Goga Bitadze,C,23,ORL,17,1,255,5.9,10.3,4.4,0.575,0.3,1.7,0.167,5.6,8.6,0.656,1.7,2.5,0.8,0.667,5.1,7.3,12.4,3,1,2.3,1.4,4.2,13.8,65.53398058,60.06528836,18.88276947,8.811959087,1.076023392,0.061960784
43,Bismack Biyombo,C,30,PHO,61,14,874,4.9,8.5,3.6,0.578,0,0,,4.9,8.5,0.578,1,2.9,1.9,0.357,3.7,7,10.7,2.3,0.7,3.6,2.1,4.7,10.8,57.64705882,54.66970387,16.10926283,14.70845736,0.907181856,0.012471396
44,Buddy Boeheim,SF,23,DET,10,0,90,2,10.8,8.8,0.185,1.6,10,0.16,0.4,0.8,0.5,0.8,0.8,0,1,0.8,1.6,2.4,1.6,0.8,0,0,2.4,6.4,64.81481481,28.62254025,12.51956182,0,0.573476703,-0.022222222
45,Bogdan Bogdanovic,SG,30,ATL,54,9,1508,6.5,14.6,8.1,0.447,3.5,8.6,0.406,3,6,0.506,1.5,1.8,0.3,0.831,0.5,3.4,3.9,3.6,1,0.4,1.6,2.1,18,73.97260274,58.23358137,17.4291939,7.7463084,1.058201058,0.005503979
46,Bojan Bogdanovic,PF,33,DET,59,59,1893,8.2,16.8,8.6,0.488,2.8,6.7,0.411,5.4,10.1,0.539,5.1,5.8,0.7,0.884,0.7,3.6,4.2,2.9,0.6,0.2,2.6,2.1,24.2,68.75,61.87675786,11.57453602,10.37717023,1.099500227,0.00528262
47,Bol Bol,PF,23,ORL,70,33,1505,6.2,11.4,5.2,0.546,0.7,2.7,0.265,5.5,8.7,0.633,2,2.6,0.6,0.759,1.7,8,9.7,1.7,0.7,2,2.7,2.2,15.2,66.22807018,60.15037594,9.979454065,15.84972116,0.995415848,0.008172757
48,Leandro Bolmaro,SF,22,UTA,14,0,68,1.6,10.6,9,0.15,0,2.1,0,1.6,8.5,0.188,0,0,0,,2.1,1.6,3.7,3.7,1.6,0.5,3.7,5.3,3.2,25,15.09433962,20.55555556,20.55555556,0.223776224,-0.101470588
49,Devin Booker,SG,26,PHO,53,53,1835,10.3,20.9,10.6,0.494,2.2,6.2,0.351,8.2,14.7,0.554,6,7,1,0.855,0.9,3.8,4.7,5.7,1,0.4,2.8,3.1,28.9,64.11483254,59.64912281,17.41787624,8.556149733,1.076350093,0.006975477
50,Brandon Boston Jr.,SF,21,LAC,22,1,248,7.4,17.7,10.3,0.418,1.7,4.2,0.414,5.7,13.5,0.419,4.2,5.5,1.3,0.763,1,3.3,4.4,2.9,1.3,0,1.7,3,20.8,53.67231638,51.2,11.6407426,6.823883593,0.950857143,0.022580645
51,Chris Boucher,PF,30,TOR,76,0,1523,6.2,12.5,6.3,0.493,1.5,4.5,0.328,4.7,8,0.585,3,4,1,0.762,3.7,6.2,10,0.7,1.1,1.5,1,3.4,16.8,67.6,58.33333333,4.347826087,6.211180124,1.098039216,0.008076165
52,James Bouknight,SG,22,CHO,34,0,515,4.8,13.5,8.7,0.358,2.3,7.6,0.303,2.5,5.9,0.429,1.4,2.1,0.7,0.667,0.6,4.5,5,2.9,1,0.3,2.2,3.4,13.4,63.7037037,46.21486463,14.79780584,11.22592167,0.805046561,0.005242718
53,Jamaree Bouyea,PG,23,TOT,5,0,71,3,7.1,4.1,0.429,1,3,0.333,2,4.1,0.5,0.5,1,0.5,0.5,0.5,2.5,3,2,2,1,2,3,7.6,63.38028169,50.1650165,17.27861771,17.27861771,0.795811518,0.04084507
